Country,OBJECTID *,GHI,WindCF,VariableCostWind,FixedCostWind,VariableCostPV,FixedCostPV,VariableCostSOMG,FixedCostSOMG,VariableCostPV4h,FixedCostPV4h,VariableCostPV8h,FixedCostPV8h,OperationalLifeWind,OperationalLifePV,OperationalLifeSOMG,OperationalLifePV4h,OperationalLifePV8h,Diesel_transport
Kenya,54,0.1928721,0.289948983,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.17948471
Kenya,55,0.192914809,0.29639545,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.179399447
Kenya,56,0.18797639,0.159577378,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.178989639
Kenya,57,0.187752773,0.145456563,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.184259564
Kenya,58,0.188174208,0.176457651,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.174464857
Kenya,59,0.188630709,0.230166347,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.177108888
Kenya,60,0.189163682,0.307058833,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.176799935
Kenya,61,0.189393424,0.364594828,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.182760581
Kenya,62,0.189379975,0.423127192,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.179193118
Kenya,63,0.189768817,0.428753295,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.181722643
Kenya,64,0.190222463,0.426166667,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.178290683
Kenya,65,0.190984513,0.3897265,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.178387248
Kenya,66,0.190456877,0.354449214,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.178485667
Kenya,67,0.188575403,0.321263546,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.18160201
Kenya,68,0.188675151,0.294531582,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.179366387
Kenya,69,0.189548056,0.272064577,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.180077406
Kenya,70,0.190381754,0.268659396,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.179239433
Kenya,71,0.191034907,0.268502998,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.177259399
